"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"21/06/2024 16:00:00 - 21/06/2024 17:00:00","BZN|SE3","Without Sequence","34.44","",""
"21/06/2024 17:00:00 - 21/06/2024 18:00:00","BZN|SE3","Without Sequence","34.76","",""
"21/06/2024 18:00:00 - 21/06/2024 19:00:00","BZN|SE3","Without Sequence","34.92","",""
"21/06/2024 19:00:00 - 21/06/2024 20:00:00","BZN|SE3","Without Sequence","32.56","",""
"21/06/2024 20:00:00 - 21/06/2024 21:00:00","BZN|SE3","Without Sequence","30.85","",""
"21/06/2024 21:00:00 - 21/06/2024 22:00:00","BZN|SE3","Without Sequence","28.11","",""
"21/06/2024 22:00:00 - 21/06/2024 23:00:00","BZN|SE3","Without Sequence","33.33","",""
"21/06/2024 23:00:00 - 22/06/2024 00:00:00","BZN|SE3","Without Sequence","33.09","",""
"22/06/2024 00:00:00 - 22/06/2024 01:00:00","BZN|SE3","Without Sequence","31.83","",""
"22/06/2024 01:00:00 - 22/06/2024 02:00:00","BZN|SE3","Without Sequence","31.58","",""
"22/06/2024 02:00:00 - 22/06/2024 03:00:00","BZN|SE3","Without Sequence","30.59","",""
"22/06/2024 03:00:00 - 22/06/2024 04:00:00","BZN|SE3","Without Sequence","29.49","",""
"22/06/2024 04:00:00 - 22/06/2024 05:00:00","BZN|SE3","Without Sequence","32.03","",""
"22/06/2024 05:00:00 - 22/06/2024 06:00:00","BZN|SE3","Without Sequence","34.75","",""
"22/06/2024 06:00:00 - 22/06/2024 07:00:00","BZN|SE3","Without Sequence","35.59","",""
"22/06/2024 07:00:00 - 22/06/2024 08:00:00","BZN|SE3","Without Sequence","34.34","",""
"22/06/2024 08:00:00 - 22/06/2024 09:00:00","BZN|SE3","Without Sequence","12.85","",""
"22/06/2024 09:00:00 - 22/06/2024 10:00:00","BZN|SE3","Without Sequence","3.69","",""
"22/06/2024 10:00:00 - 22/06/2024 11:00:00","BZN|SE3","Without Sequence","2.72","",""
"22/06/2024 11:00:00 - 22/06/2024 12:00:00","BZN|SE3","Without Sequence","0.10","",""
"22/06/2024 12:00:00 - 22/06/2024 13:00:00","BZN|SE3","Without Sequence","0.22","",""
"22/06/2024 13:00:00 - 22/06/2024 14:00:00","BZN|SE3","Without Sequence","3.70","",""
"22/06/2024 14:00:00 - 22/06/2024 15:00:00","BZN|SE3","Without Sequence","11.74","",""
"22/06/2024 15:00:00 - 22/06/2024 16:00:00","BZN|SE3","Without Sequence","35.08","",""
"22/06/2024 16:00:00 - 22/06/2024 17:00:00","BZN|SE3","Without Sequence","36.59","",""
"22/06/2024 17:00:00 - 22/06/2024 18:00:00","BZN|SE3","Without Sequence","36.19","",""
"22/06/2024 18:00:00 - 22/06/2024 19:00:00","BZN|SE3","Without Sequence","35.62","",""
"22/06/2024 19:00:00 - 22/06/2024 20:00:00","BZN|SE3","Without Sequence","34.42","",""
"22/06/2024 20:00:00 - 22/06/2024 21:00:00","BZN|SE3","Without Sequence","30.49","",""
"22/06/2024 21:00:00 - 22/06/2024 22:00:00","BZN|SE3","Without Sequence","27.54","",""
"22/06/2024 22:00:00 - 22/06/2024 23:00:00","BZN|SE3","Without Sequence","30.89","",""
"22/06/2024 23:00:00 - 23/06/2024 00:00:00","BZN|SE3","Without Sequence","30.19","",""
"23/06/2024 00:00:00 - 23/06/2024 01:00:00","BZN|SE3","Without Sequence","29.88","",""
"23/06/2024 01:00:00 - 23/06/2024 02:00:00","BZN|SE3","Without Sequence","29.72","",""
"23/06/2024 02:00:00 - 23/06/2024 03:00:00","BZN|SE3","Without Sequence","29.61","",""
"23/06/2024 03:00:00 - 23/06/2024 04:00:00","BZN|SE3","Without Sequence","29.22","",""
"23/06/2024 04:00:00 - 23/06/2024 05:00:00","BZN|SE3","Without Sequence","30.34","",""
"23/06/2024 05:00:00 - 23/06/2024 06:00:00","BZN|SE3","Without Sequence","34.99","",""
"23/06/2024 06:00:00 - 23/06/2024 07:00:00","BZN|SE3","Without Sequence","25.42","",""
"23/06/2024 07:00:00 - 23/06/2024 08:00:00","BZN|SE3","Without Sequence","9.94","",""
"23/06/2024 08:00:00 - 23/06/2024 09:00:00","BZN|SE3","Without Sequence","4.07","",""
"23/06/2024 09:00:00 - 23/06/2024 10:00:00","BZN|SE3","Without Sequence","1.60","",""
"23/06/2024 10:00:00 - 23/06/2024 11:00:00","BZN|SE3","Without Sequence","1.18","",""
"23/06/2024 11:00:00 - 23/06/2024 12:00:00","BZN|SE3","Without Sequence","0.44","",""
"23/06/2024 12:00:00 - 23/06/2024 13:00:00","BZN|SE3","Without Sequence","0.09","",""
"23/06/2024 13:00:00 - 23/06/2024 14:00:00","BZN|SE3","Without Sequence","1.74","",""
"23/06/2024 14:00:00 - 23/06/2024 15:00:00","BZN|SE3","Without Sequence","4.99","",""
"23/06/2024 15:00:00 - 23/06/2024 16:00:00","BZN|SE3","Without Sequence","25.73","",""
"23/06/2024 16:00:00 - 23/06/2024 17:00:00","BZN|SE3","Without Sequence","36.83","",""
"23/06/2024 17:00:00 - 23/06/2024 18:00:00","BZN|SE3","Without Sequence","36.53","",""
"23/06/2024 18:00:00 - 23/06/2024 19:00:00","BZN|SE3","Without Sequence","34.44","",""
"23/06/2024 19:00:00 - 23/06/2024 20:00:00","BZN|SE3","Without Sequence","31.91","",""
"23/06/2024 20:00:00 - 23/06/2024 21:00:00","BZN|SE3","Without Sequence","29.14","",""
"23/06/2024 21:00:00 - 23/06/2024 22:00:00","BZN|SE3","Without Sequence","27.10","",""
"23/06/2024 22:00:00 - 23/06/2024 23:00:00","BZN|SE3","Without Sequence","24.54","",""
"23/06/2024 23:00:00 - 24/06/2024 00:00:00","BZN|SE3","Without Sequence","23.32","",""
"24/06/2024 00:00:00 - 24/06/2024 01:00:00","BZN|SE3","Without Sequence","22.19","",""
"24/06/2024 01:00:00 - 24/06/2024 02:00:00","BZN|SE3","Without Sequence","20.59","",""
"24/06/2024 02:00:00 - 24/06/2024 03:00:00","BZN|SE3","Without Sequence","22.19","",""
"24/06/2024 03:00:00 - 24/06/2024 04:00:00","BZN|SE3","Without Sequence","26.81","",""
"24/06/2024 04:00:00 - 24/06/2024 05:00:00","BZN|SE3","Without Sequence","37.24","",""
"24/06/2024 05:00:00 - 24/06/2024 06:00:00","BZN|SE3","Without Sequence","38.04","",""
"24/06/2024 06:00:00 - 24/06/2024 07:00:00","BZN|SE3","Without Sequence","39.15","",""
"24/06/2024 07:00:00 - 24/06/2024 08:00:00","BZN|SE3","Without Sequence","38.86","",""
"24/06/2024 08:00:00 - 24/06/2024 09:00:00","BZN|SE3","Without Sequence","38.43","",""
"24/06/2024 09:00:00 - 24/06/2024 10:00:00","BZN|SE3","Without Sequence","36.51","",""
"24/06/2024 10:00:00 - 24/06/2024 11:00:00","BZN|SE3","Without Sequence","31.81","",""
"24/06/2024 11:00:00 - 24/06/2024 12:00:00","BZN|SE3","Without Sequence","29.96","",""
"24/06/2024 12:00:00 - 24/06/2024 13:00:00","BZN|SE3","Without Sequence","30.93","",""
"24/06/2024 13:00:00 - 24/06/2024 14:00:00","BZN|SE3","Without Sequence","36.83","",""
"24/06/2024 14:00:00 - 24/06/2024 15:00:00","BZN|SE3","Without Sequence","37.12","",""
"24/06/2024 15:00:00 - 24/06/2024 16:00:00","BZN|SE3","Without Sequence","37.62","",""
"24/06/2024 16:00:00 - 24/06/2024 17:00:00","BZN|SE3","Without Sequence","37.13","",""
"24/06/2024 17:00:00 - 24/06/2024 18:00:00","BZN|SE3","Without Sequence","37.00","",""
"24/06/2024 18:00:00 - 24/06/2024 19:00:00","BZN|SE3","Without Sequence","37.93","",""
"24/06/2024 19:00:00 - 24/06/2024 20:00:00","BZN|SE3","Without Sequence","37.52","",""
"24/06/2024 20:00:00 - 24/06/2024 21:00:00","BZN|SE3","Without Sequence","37.33","",""
"24/06/2024 21:00:00 - 24/06/2024 22:00:00","BZN|SE3","Without Sequence","36.71","",""
"24/06/2024 22:00:00 - 24/06/2024 23:00:00","BZN|SE3","Without Sequence","28.83","",""
"24/06/2024 23:00:00 - 25/06/2024 00:00:00","BZN|SE3","Without Sequence","27.67","",""
"25/06/2024 00:00:00 - 25/06/2024 01:00:00","BZN|SE3","Without Sequence","27.19","",""
"25/06/2024 01:00:00 - 25/06/2024 02:00:00","BZN|SE3","Without Sequence","27.30","",""
"25/06/2024 02:00:00 - 25/06/2024 03:00:00","BZN|SE3","Without Sequence","28.17","",""
"25/06/2024 03:00:00 - 25/06/2024 04:00:00","BZN|SE3","Without Sequence","31.02","",""
"25/06/2024 04:00:00 - 25/06/2024 05:00:00","BZN|SE3","Without Sequence","34.36","",""
"25/06/2024 05:00:00 - 25/06/2024 06:00:00","BZN|SE3","Without Sequence","36.45","",""
"25/06/2024 06:00:00 - 25/06/2024 07:00:00","BZN|SE3","Without Sequence","37.27","",""
"25/06/2024 07:00:00 - 25/06/2024 08:00:00","BZN|SE3","Without Sequence","36.77","",""
"25/06/2024 08:00:00 - 25/06/2024 09:00:00","BZN|SE3","Without Sequence","34.26","",""
"25/06/2024 09:00:00 - 25/06/2024 10:00:00","BZN|SE3","Without Sequence","28.38","",""
"25/06/2024 10:00:00 - 25/06/2024 11:00:00","BZN|SE3","Without Sequence","26.10","",""
"25/06/2024 11:00:00 - 25/06/2024 12:00:00","BZN|SE3","Without Sequence","22.08","",""
"25/06/2024 12:00:00 - 25/06/2024 13:00:00","BZN|SE3","Without Sequence","22.77","",""
"25/06/2024 13:00:00 - 25/06/2024 14:00:00","BZN|SE3","Without Sequence","25.95","",""
"25/06/2024 14:00:00 - 25/06/2024 15:00:00","BZN|SE3","Without Sequence","32.96","",""
"25/06/2024 15:00:00 - 25/06/2024 16:00:00","BZN|SE3","Without Sequence","34.52","",""
"25/06/2024 16:00:00 - 25/06/2024 17:00:00","BZN|SE3","Without Sequence","35.42","",""
"25/06/2024 17:00:00 - 25/06/2024 18:00:00","BZN|SE3","Without Sequence","35.34","",""
"25/06/2024 18:00:00 - 25/06/2024 19:00:00","BZN|SE3","Without Sequence","35.03","",""
"25/06/2024 19:00:00 - 25/06/2024 20:00:00","BZN|SE3","Without Sequence","34.18","",""
"25/06/2024 20:00:00 - 25/06/2024 21:00:00","BZN|SE3","Without Sequence","32.94","",""
"25/06/2024 21:00:00 - 25/06/2024 22:00:00","BZN|SE3","Without Sequence","32.84","",""
"25/06/2024 22:00:00 - 25/06/2024 23:00:00","BZN|SE3","Without Sequence","23.65","",""
"25/06/2024 23:00:00 - 26/06/2024 00:00:00","BZN|SE3","Without Sequence","20.51","",""
"26/06/2024 00:00:00 - 26/06/2024 01:00:00","BZN|SE3","Without Sequence","18.72","",""
"26/06/2024 01:00:00 - 26/06/2024 02:00:00","BZN|SE3","Without Sequence","17.32","",""
"26/06/2024 02:00:00 - 26/06/2024 03:00:00","BZN|SE3","Without Sequence","17.66","",""
"26/06/2024 03:00:00 - 26/06/2024 04:00:00","BZN|SE3","Without Sequence","24.29","",""
"26/06/2024 04:00:00 - 26/06/2024 05:00:00","BZN|SE3","Without Sequence","29.10","",""
"26/06/2024 05:00:00 - 26/06/2024 06:00:00","BZN|SE3","Without Sequence","34.00","",""
"26/06/2024 06:00:00 - 26/06/2024 07:00:00","BZN|SE3","Without Sequence","35.55","",""
"26/06/2024 07:00:00 - 26/06/2024 08:00:00","BZN|SE3","Without Sequence","35.14","",""
"26/06/2024 08:00:00 - 26/06/2024 09:00:00","BZN|SE3","Without Sequence","35.31","",""
"26/06/2024 09:00:00 - 26/06/2024 10:00:00","BZN|SE3","Without Sequence","33.60","",""
"26/06/2024 10:00:00 - 26/06/2024 11:00:00","BZN|SE3","Without Sequence","32.90","",""
"26/06/2024 11:00:00 - 26/06/2024 12:00:00","BZN|SE3","Without Sequence","32.64","",""
"26/06/2024 12:00:00 - 26/06/2024 13:00:00","BZN|SE3","Without Sequence","32.57","",""
"26/06/2024 13:00:00 - 26/06/2024 14:00:00","BZN|SE3","Without Sequence","32.65","",""
"26/06/2024 14:00:00 - 26/06/2024 15:00:00","BZN|SE3","Without Sequence","33.07","",""
"26/06/2024 15:00:00 - 26/06/2024 16:00:00","BZN|SE3","Without Sequence","33.66","",""
"26/06/2024 16:00:00 - 26/06/2024 17:00:00","BZN|SE3","Without Sequence","34.93","",""
"26/06/2024 17:00:00 - 26/06/2024 18:00:00","BZN|SE3","Without Sequence","34.96","",""
"26/06/2024 18:00:00 - 26/06/2024 19:00:00","BZN|SE3","Without Sequence","33.79","",""
"26/06/2024 19:00:00 - 26/06/2024 20:00:00","BZN|SE3","Without Sequence","33.70","",""
"26/06/2024 20:00:00 - 26/06/2024 21:00:00","BZN|SE3","Without Sequence","33.00","",""
"26/06/2024 21:00:00 - 26/06/2024 22:00:00","BZN|SE3","Without Sequence","31.56","",""
"26/06/2024 22:00:00 - 26/06/2024 23:00:00","BZN|SE3","Without Sequence","28.41","",""
"26/06/2024 23:00:00 - 27/06/2024 00:00:00","BZN|SE3","Without Sequence","27.06","",""
"27/06/2024 00:00:00 - 27/06/2024 01:00:00","BZN|SE3","Without Sequence","26.00","",""
"27/06/2024 01:00:00 - 27/06/2024 02:00:00","BZN|SE3","Without Sequence","24.92","",""
"27/06/2024 02:00:00 - 27/06/2024 03:00:00","BZN|SE3","Without Sequence","25.80","",""
"27/06/2024 03:00:00 - 27/06/2024 04:00:00","BZN|SE3","Without Sequence","26.56","",""
"27/06/2024 04:00:00 - 27/06/2024 05:00:00","BZN|SE3","Without Sequence","29.23","",""
"27/06/2024 05:00:00 - 27/06/2024 06:00:00","BZN|SE3","Without Sequence","32.91","",""
"27/06/2024 06:00:00 - 27/06/2024 07:00:00","BZN|SE3","Without Sequence","35.16","",""
"27/06/2024 07:00:00 - 27/06/2024 08:00:00","BZN|SE3","Without Sequence","34.79","",""
"27/06/2024 08:00:00 - 27/06/2024 09:00:00","BZN|SE3","Without Sequence","33.71","",""
"27/06/2024 09:00:00 - 27/06/2024 10:00:00","BZN|SE3","Without Sequence","29.46","",""
"27/06/2024 10:00:00 - 27/06/2024 11:00:00","BZN|SE3","Without Sequence","29.71","",""
"27/06/2024 11:00:00 - 27/06/2024 12:00:00","BZN|SE3","Without Sequence","28.94","",""
"27/06/2024 12:00:00 - 27/06/2024 13:00:00","BZN|SE3","Without Sequence","26.84","",""
"27/06/2024 13:00:00 - 27/06/2024 14:00:00","BZN|SE3","Without Sequence","24.99","",""
"27/06/2024 14:00:00 - 27/06/2024 15:00:00","BZN|SE3","Without Sequence","27.04","",""
"27/06/2024 15:00:00 - 27/06/2024 16:00:00","BZN|SE3","Without Sequence","29.23","",""
"27/06/2024 16:00:00 - 27/06/2024 17:00:00","BZN|SE3","Without Sequence","29.30","",""
"27/06/2024 17:00:00 - 27/06/2024 18:00:00","BZN|SE3","Without Sequence","28.07","",""
"27/06/2024 18:00:00 - 27/06/2024 19:00:00","BZN|SE3","Without Sequence","25.34","",""
"27/06/2024 19:00:00 - 27/06/2024 20:00:00","BZN|SE3","Without Sequence","22.32","",""
"27/06/2024 20:00:00 - 27/06/2024 21:00:00","BZN|SE3","Without Sequence","15.09","",""
"27/06/2024 21:00:00 - 27/06/2024 22:00:00","BZN|SE3","Without Sequence","3.51","",""
"27/06/2024 22:00:00 - 27/06/2024 23:00:00","BZN|SE3","Without Sequence","3.20","",""
"27/06/2024 23:00:00 - 28/06/2024 00:00:00","BZN|SE3","Without Sequence","3.04","",""
"28/06/2024 00:00:00 - 28/06/2024 01:00:00","BZN|SE3","Without Sequence","3.01","",""
"28/06/2024 01:00:00 - 28/06/2024 02:00:00","BZN|SE3","Without Sequence","2.91","",""
"28/06/2024 02:00:00 - 28/06/2024 03:00:00","BZN|SE3","Without Sequence","3.03","",""
"28/06/2024 03:00:00 - 28/06/2024 04:00:00","BZN|SE3","Without Sequence","4.43","",""
"28/06/2024 04:00:00 - 28/06/2024 05:00:00","BZN|SE3","Without Sequence","16.95","",""
"28/06/2024 05:00:00 - 28/06/2024 06:00:00","BZN|SE3","Without Sequence","28.01","",""
"28/06/2024 06:00:00 - 28/06/2024 07:00:00","BZN|SE3","Without Sequence","30.25","",""
"28/06/2024 07:00:00 - 28/06/2024 08:00:00","BZN|SE3","Without Sequence","29.20","",""
"28/06/2024 08:00:00 - 28/06/2024 09:00:00","BZN|SE3","Without Sequence","22.09","",""
"28/06/2024 09:00:00 - 28/06/2024 10:00:00","BZN|SE3","Without Sequence","4.39","",""
"28/06/2024 10:00:00 - 28/06/2024 11:00:00","BZN|SE3","Without Sequence","1.19","",""
"28/06/2024 11:00:00 - 28/06/2024 12:00:00","BZN|SE3","Without Sequence","-0.02","",""
"28/06/2024 12:00:00 - 28/06/2024 13:00:00","BZN|SE3","Without Sequence","-0.80","",""
"28/06/2024 13:00:00 - 28/06/2024 14:00:00","BZN|SE3","Without Sequence","-0.90","",""
"28/06/2024 14:00:00 - 28/06/2024 15:00:00","BZN|SE3","Without Sequence","-0.02","",""
"28/06/2024 15:00:00 - 28/06/2024 16:00:00","BZN|SE3","Without Sequence","3.23","",""
"28/06/2024 16:00:00 - 28/06/2024 17:00:00","BZN|SE3","Without Sequence","12.84","",""
"28/06/2024 17:00:00 - 28/06/2024 18:00:00","BZN|SE3","Without Sequence","19.17","",""
"28/06/2024 18:00:00 - 28/06/2024 19:00:00","BZN|SE3","Without Sequence","14.10","",""
"28/06/2024 19:00:00 - 28/06/2024 20:00:00","BZN|SE3","Without Sequence","4.98","",""
"28/06/2024 20:00:00 - 28/06/2024 21:00:00","BZN|SE3","Without Sequence","4.16","",""
"28/06/2024 21:00:00 - 28/06/2024 22:00:00","BZN|SE3","Without Sequence","0.93","",""
"28/06/2024 22:00:00 - 28/06/2024 23:00:00","BZN|SE3","Without Sequence","1.86","",""
"28/06/2024 23:00:00 - 29/06/2024 00:00:00","BZN|SE3","Without Sequence","-0.06","",""
"29/06/2024 00:00:00 - 29/06/2024 01:00:00","BZN|SE3","Without Sequence","-0.31","",""
"29/06/2024 01:00:00 - 29/06/2024 02:00:00","BZN|SE3","Without Sequence","-1.01","",""
"29/06/2024 02:00:00 - 29/06/2024 03:00:00","BZN|SE3","Without Sequence","-1.10","",""
"29/06/2024 03:00:00 - 29/06/2024 04:00:00","BZN|SE3","Without Sequence","-1.01","",""
"29/06/2024 04:00:00 - 29/06/2024 05:00:00","BZN|SE3","Without Sequence","-0.58","",""
"29/06/2024 05:00:00 - 29/06/2024 06:00:00","BZN|SE3","Without Sequence","-0.08","",""
"29/06/2024 06:00:00 - 29/06/2024 07:00:00","BZN|SE3","Without Sequence","-0.06","",""
"29/06/2024 07:00:00 - 29/06/2024 08:00:00","BZN|SE3","Without Sequence","-0.11","",""
"29/06/2024 08:00:00 - 29/06/2024 09:00:00","BZN|SE3","Without Sequence","-1.99","",""
"29/06/2024 09:00:00 - 29/06/2024 10:00:00","BZN|SE3","Without Sequence","-2.29","",""
"29/06/2024 10:00:00 - 29/06/2024 11:00:00","BZN|SE3","Without Sequence","-2.01","",""
"29/06/2024 11:00:00 - 29/06/2024 12:00:00","BZN|SE3","Without Sequence","-2.09","",""
"29/06/2024 12:00:00 - 29/06/2024 13:00:00","BZN|SE3","Without Sequence","-2.42","",""
"29/06/2024 13:00:00 - 29/06/2024 14:00:00","BZN|SE3","Without Sequence","-2.29","",""
"29/06/2024 14:00:00 - 29/06/2024 15:00:00","BZN|SE3","Without Sequence","-1.48","",""
"29/06/2024 15:00:00 - 29/06/2024 16:00:00","BZN|SE3","Without Sequence","-0.11","",""
"29/06/2024 16:00:00 - 29/06/2024 17:00:00","BZN|SE3","Without Sequence","0.00","",""
"29/06/2024 17:00:00 - 29/06/2024 18:00:00","BZN|SE3","Without Sequence","2.90","",""
"29/06/2024 18:00:00 - 29/06/2024 19:00:00","BZN|SE3","Without Sequence","9.30","",""
"29/06/2024 19:00:00 - 29/06/2024 20:00:00","BZN|SE3","Without Sequence","11.80","",""
"29/06/2024 20:00:00 - 29/06/2024 21:00:00","BZN|SE3","Without Sequence","11.43","",""
"29/06/2024 21:00:00 - 29/06/2024 22:00:00","BZN|SE3","Without Sequence","4.99","",""
"29/06/2024 22:00:00 - 29/06/2024 23:00:00","BZN|SE3","Without Sequence","19.46","",""
"29/06/2024 23:00:00 - 30/06/2024 00:00:00","BZN|SE3","Without Sequence","18.63","",""
"30/06/2024 00:00:00 - 30/06/2024 01:00:00","BZN|SE3","Without Sequence","18.54","",""
"30/06/2024 01:00:00 - 30/06/2024 02:00:00","BZN|SE3","Without Sequence","19.95","",""
"30/06/2024 02:00:00 - 30/06/2024 03:00:00","BZN|SE3","Without Sequence","21.38","",""
"30/06/2024 03:00:00 - 30/06/2024 04:00:00","BZN|SE3","Without Sequence","23.93","",""
"30/06/2024 04:00:00 - 30/06/2024 05:00:00","BZN|SE3","Without Sequence","26.87","",""
"30/06/2024 05:00:00 - 30/06/2024 06:00:00","BZN|SE3","Without Sequence","20.42","",""
"30/06/2024 06:00:00 - 30/06/2024 07:00:00","BZN|SE3","Without Sequence","6.83","",""
"30/06/2024 07:00:00 - 30/06/2024 08:00:00","BZN|SE3","Without Sequence","0.82","",""
"30/06/2024 08:00:00 - 30/06/2024 09:00:00","BZN|SE3","Without Sequence","0.00","",""
"30/06/2024 09:00:00 - 30/06/2024 10:00:00","BZN|SE3","Without Sequence","0.00","",""
"30/06/2024 10:00:00 - 30/06/2024 11:00:00","BZN|SE3","Without Sequence","0.00","",""
"30/06/2024 11:00:00 - 30/06/2024 12:00:00","BZN|SE3","Without Sequence","0.00","",""
"30/06/2024 12:00:00 - 30/06/2024 13:00:00","BZN|SE3","Without Sequence","0.00","",""
"30/06/2024 13:00:00 - 30/06/2024 14:00:00","BZN|SE3","Without Sequence","0.00","",""
"30/06/2024 14:00:00 - 30/06/2024 15:00:00","BZN|SE3","Without Sequence","7.71","",""
"30/06/2024 15:00:00 - 30/06/2024 16:00:00","BZN|SE3","Without Sequence","29.86","",""
"30/06/2024 16:00:00 - 30/06/2024 17:00:00","BZN|SE3","Without Sequence","32.77","",""
"30/06/2024 17:00:00 - 30/06/2024 18:00:00","BZN|SE3","Without Sequence","32.73","",""
"30/06/2024 18:00:00 - 30/06/2024 19:00:00","BZN|SE3","Without Sequence","32.71","",""
"30/06/2024 19:00:00 - 30/06/2024 20:00:00","BZN|SE3","Without Sequence","32.62","",""
"30/06/2024 20:00:00 - 30/06/2024 21:00:00","BZN|SE3","Without Sequence","32.25","",""
"30/06/2024 21:00:00 - 30/06/2024 22:00:00","BZN|SE3","Without Sequence","30.93","",""
"30/06/2024 22:00:00 - 30/06/2024 23:00:00","BZN|SE3","Without Sequence","30.23","",""
"30/06/2024 23:00:00 - 01/07/2024 00:00:00","BZN|SE3","Without Sequence","29.56","",""
"01/07/2024 00:00:00 - 01/07/2024 01:00:00","BZN|SE3","Without Sequence","28.85","",""
"01/07/2024 01:00:00 - 01/07/2024 02:00:00","BZN|SE3","Without Sequence","28.62","",""
"01/07/2024 02:00:00 - 01/07/2024 03:00:00","BZN|SE3","Without Sequence","28.85","",""
"01/07/2024 03:00:00 - 01/07/2024 04:00:00","BZN|SE3","Without Sequence","30.50","",""
"01/07/2024 04:00:00 - 01/07/2024 05:00:00","BZN|SE3","Without Sequence","32.43","",""
"01/07/2024 05:00:00 - 01/07/2024 06:00:00","BZN|SE3","Without Sequence","35.93","",""
"01/07/2024 06:00:00 - 01/07/2024 07:00:00","BZN|SE3","Without Sequence","36.44","",""
"01/07/2024 07:00:00 - 01/07/2024 08:00:00","BZN|SE3","Without Sequence","35.40","",""
"01/07/2024 08:00:00 - 01/07/2024 09:00:00","BZN|SE3","Without Sequence","34.90","",""
"01/07/2024 09:00:00 - 01/07/2024 10:00:00","BZN|SE3","Without Sequence","34.17","",""
"01/07/2024 10:00:00 - 01/07/2024 11:00:00","BZN|SE3","Without Sequence","33.44","",""
"01/07/2024 11:00:00 - 01/07/2024 12:00:00","BZN|SE3","Without Sequence","33.17","",""
"01/07/2024 12:00:00 - 01/07/2024 13:00:00","BZN|SE3","Without Sequence","32.41","",""
"01/07/2024 13:00:00 - 01/07/2024 14:00:00","BZN|SE3","Without Sequence","32.55","",""
"01/07/2024 14:00:00 - 01/07/2024 15:00:00","BZN|SE3","Without Sequence","32.68","",""
"01/07/2024 15:00:00 - 01/07/2024 16:00:00","BZN|SE3","Without Sequence","33.10","",""
"01/07/2024 16:00:00 - 01/07/2024 17:00:00","BZN|SE3","Without Sequence","34.04","",""
"01/07/2024 17:00:00 - 01/07/2024 18:00:00","BZN|SE3","Without Sequence","33.91","",""
"01/07/2024 18:00:00 - 01/07/2024 19:00:00","BZN|SE3","Without Sequence","33.46","",""
"01/07/2024 19:00:00 - 01/07/2024 20:00:00","BZN|SE3","Without Sequence","32.66","",""
"01/07/2024 20:00:00 - 01/07/2024 21:00:00","BZN|SE3","Without Sequence","31.67","",""
"01/07/2024 21:00:00 - 01/07/2024 22:00:00","BZN|SE3","Without Sequence","30.72","",""
"01/07/2024 22:00:00 - 01/07/2024 23:00:00","BZN|SE3","Without Sequence","27.70","",""
"01/07/2024 23:00:00 - 02/07/2024 00:00:00","BZN|SE3","Without Sequence","26.57","",""
"02/07/2024 00:00:00 - 02/07/2024 01:00:00","BZN|SE3","Without Sequence","25.56","",""
"02/07/2024 01:00:00 - 02/07/2024 02:00:00","BZN|SE3","Without Sequence","24.84","",""
"02/07/2024 02:00:00 - 02/07/2024 03:00:00","BZN|SE3","Without Sequence","25.48","",""
"02/07/2024 03:00:00 - 02/07/2024 04:00:00","BZN|SE3","Without Sequence","27.06","",""
"02/07/2024 04:00:00 - 02/07/2024 05:00:00","BZN|SE3","Without Sequence","27.71","",""
"02/07/2024 05:00:00 - 02/07/2024 06:00:00","BZN|SE3","Without Sequence","35.98","",""
"02/07/2024 06:00:00 - 02/07/2024 07:00:00","BZN|SE3","Without Sequence","37.95","",""
"02/07/2024 07:00:00 - 02/07/2024 08:00:00","BZN|SE3","Without Sequence","37.91","",""
"02/07/2024 08:00:00 - 02/07/2024 09:00:00","BZN|SE3","Without Sequence","35.92","",""
"02/07/2024 09:00:00 - 02/07/2024 10:00:00","BZN|SE3","Without Sequence","34.93","",""
"02/07/2024 10:00:00 - 02/07/2024 11:00:00","BZN|SE3","Without Sequence","34.92","",""
"02/07/2024 11:00:00 - 02/07/2024 12:00:00","BZN|SE3","Without Sequence","34.59","",""
"02/07/2024 12:00:00 - 02/07/2024 13:00:00","BZN|SE3","Without Sequence","33.92","",""
"02/07/2024 13:00:00 - 02/07/2024 14:00:00","BZN|SE3","Without Sequence","32.59","",""
"02/07/2024 14:00:00 - 02/07/2024 15:00:00","BZN|SE3","Without Sequence","33.44","",""
"02/07/2024 15:00:00 - 02/07/2024 16:00:00","BZN|SE3","Without Sequence","35.15","",""
"02/07/2024 16:00:00 - 02/07/2024 17:00:00","BZN|SE3","Without Sequence","35.09","",""
"02/07/2024 17:00:00 - 02/07/2024 18:00:00","BZN|SE3","Without Sequence","35.82","",""
"02/07/2024 18:00:00 - 02/07/2024 19:00:00","BZN|SE3","Without Sequence","37.54","",""
"02/07/2024 19:00:00 - 02/07/2024 20:00:00","BZN|SE3","Without Sequence","36.98","",""
"02/07/2024 20:00:00 - 02/07/2024 21:00:00","BZN|SE3","Without Sequence","37.76","",""
"02/07/2024 21:00:00 - 02/07/2024 22:00:00","BZN|SE3","Without Sequence","36.18","",""
"02/07/2024 22:00:00 - 02/07/2024 23:00:00","BZN|SE3","Without Sequence","25.51","",""
"02/07/2024 23:00:00 - 03/07/2024 00:00:00","BZN|SE3","Without Sequence","24.06","",""
